apellido,nombre,titulo,genero,tema,recomendado,calificacion,codigo,editorial,disponible,zona
ABADÍA,LEOPOLDO,LA CRISIS NINJA Y OTROS MISTERIOS DE LA ECONOMÍA ACTUAL,ENSAYO,POLÍTICA,,P-A1,17-ABA-CRI,ESPASA,True,General
ABOUELA,LEILA,LA TRADUCTORA,NOVELA,DRAMA,,—,04-ABO-TRA,LENGUA DE TRAPO,True,General
ACKROYD,PETER,"LONDRES, UN BIOGRAFÍA",ENSAYO,HISTORIA,,—,16-ACK-LON,EDHASA,True,General
ADLER,BILL,EL INGENIO DE CHURCHILL,ENSAYO,BIOGRAFÍA/AUTOBIOGRAFÍA,,—,20-ADL-ING,DIANA,True,General
ADLER-OLSEN,JUSSI,EL EFECTO MARCUS,NOVELA,NEGRA,,L-A2,08-ADL-EFE,MAEVA,True,General
ADLER-OLSEN,JUSSI,LOS CHICOS QUE CAYERON EN LA TRAMPA,NOVELA,NEGRA,,—,08-ADL-CHI,MAEVA,True,General
AGASSI,ANDRE,OPEN,ENSAYO,BIOGRAFÍA/AUTOBIOGRAFÍA,,L-B1,20-AGA-OPE,ESFERA DE LOS LIBROS,True,General
AGUALUSA,JOSÉ EDUARDO,NACIÓN CRIOLLA,NOVELA,HISTÓRICA,,L-B1,12-AGU-NAC,ALIANZA,True,General
AGUIRRE,ESPERANZA,DISCURSOS PARA LA LIBERTAD,ENSAYO,POLÍTICA,,—,16-AGU-DIS,CIUDADELA,True,General
AKUNIN,BORIS,CONSPIRACIÓN EN MOSCÚ,NOVELA,NEGRA,●,L-A2,12-AKU-CON,SALAMANDRA,True,General
AKUNIN,BORIS,EL ÁNGEL CAÍDO,NOVELA,NEGRA,●,L-A1,12-AKU-ÁNG,SALAMANDRA,True,General
AKUNIN,BORIS,GAMBITO TURCO,NOVELA,NEGRA,●,L-A2,12-AKU-GAM,SALAMANDRA,True,General
AKUNIN,BORIS,MUERTE EN EL LEVIATÁN,NOVELA,NEGRA,●,L-A1,12-AKU-MUE,SALAMANDRA,True,General
ALARCÓN,PEDRO ANTONIO ,EL CLAVO Y OTROS RELATOS DE MISTERIO Y CRIMEN,RELATO(S),—,,—,10-ALA-CLA,FONTAMARA,True,General
ALARCÓN,PEDRO ANTONIO ,LA VERDAD SOSPECHOSA,TEATRO,—,●,L-A1,11-ALA-VER,CASTALIA,True,General
ALBOM,MITCH,MARTES CON MI VIEJO PROFESOR,NOVELA,DRAMA,,L-B1,04-ALB-MAR,MAEVA,True,General
ALCAIDE,JUAN,ANTOLOGÍA POÉTICA,POESÍA,—,,L-A1,09-ALC-ANT,DONCEL,True,General
ALCÁNTARA,MANUEL,LA MITAD DEL TIEMPO,RELATO(S),—,,L-A2,10-ALC-MIT,DONCEL,True,General
ALDECOA,IGNACIO,CUENTOS COMPLETOS,RELATO(S),—,●,L-A2,12-ALD-CUE,ALFAGUARA,True,General
ALDECOA,IGNACIO,LA TIERRA DE NADIE Y OTROS RELATOS,RELATO(S),—,,L-A2,10-ALD-TIE,SALVAT,True,General
ALDECOA,IGNACIO,LA TIERRA DE NADIE Y OTROS RELATOS,RELATO(S),—,,L-A2,10-ALD-TIE,SALVAT,True,General
ALEIXANDRE,VICENTE,MIS POEMAS MEJORES,POESÍA,—,●,L-A1,09-ALE-POE,HISPÁNICA,True,General
ALEXANDRU,DAFNI,"ADIÓS, ALEJANDRÍA",NOVELA,HISTÓRICA,,—,12-ALE-ADI,DESTINO,True,General
ALIGHERI,DANTE,LA DIVINA COMEDIA,NOVELA,CLÁSICA,●,L-A1,03-ALI-DIV,BRUGUERA,True,General
ALLAN POE,EDGAR,TODOS LOS CUENTOS 1,RELATO(S),—,●,L-B1,12-ALL-TO1,GALAXIA GUTTENBERG,True,General
ALLAN POE,EDGAR,TODOS LOS CUENTOS 2,RELATO(S),—,●,L-B1,12-ALL-TO2,GALAXIA GUTTENBERG,True,General
ALLENDE,ISABEL,EL REINO DEL DRAGÓN DE ORO,NOVELA,DRAMA,,L-A1,04-ALL-REI,ARETÉ,True,General
ALONSO,DÁMASO,CONCIONERO Y ROMANCERO ESPAÑOL,POESÍA,—,,L-A2,09-ALO-CAN,SALVAT,True,General
ALONSO-ALLENDE,ALFREDO,DOS GAVIOTAS VISITAN BILBAO,NOVELA,AVENTURAS,,L-A1,01-ALO-DOS,BETA,True,General
ALONSO-ALLENDE,ALFREDO,DOS GAVIOTAS VISITAN BILBAO,NOVELA,AVENTURAS,,L-A1,01-ALO-DOS,BETA,True,General
ALONSO-ALLENDE,ALFREDO,SER AMIGOS,ENSAYO,PEDAGOGÍA/CIENCIA,,L-A1,19-ALO-SER,EDICIONES INTERNACIONALES UNIVERSITARIAS,True,General
ALONSO-ALLENDE,ALFREDO,SER AMIGOS,ENSAYO,PEDAGOGÍA/CIENCIA,,L-A1,19-ALO-SER,EDICIONES INTERNACIONALES UNIVERSITARIAS,True,General
ALTOZANO,GONZALO,NO ES BUENO QUE DIOS ESTÉ SOLO,ENSAYO,BIOGRAFÍA/AUTOBIOGRAFÍA,,L-A1,20-ALT-NOE,CIUDADELA,True,General
ALVAR,MANUEL,EL ROMANCERO ,POESÍA,—,,—,09-ALV-ROM,NUC,True,General
ÁLVAREZ,BLANCA,EL CURSO EN QUE ME ENAMORÉ DE TI,NOVELA,DRAMA,,L-A1,04-ÁLV-CUR,NAUTILUS,True,General
ÁLVAREZ CONQUEIRO,HNOS.,EL GENIO ALEGRE,TEATRO,—,,L-A1,11-ALV-PUE,AUSTRAL,True,General
ÁLVAREZ CONQUEIRO,HNOS.,PUEBLA DE LAS MUJERES,TEATRO,—,,L-A1,11-ALV-PUE,AUSTRAL,True,General
ÁLVAREZ IZQUIERDO,RAFAEL,GAUDÍ,ENSAYO,BIOGRAFÍA/AUTOBIOGRAFÍA,,P-A1,20-ALV-GAU,PALABRA,True,General
ÁLVAREZ PALENZUELA,VICENTE ÁNGEL,EL CISMA DE OCCIDENTE,ENSAYO,HISTORIA,,P-A1,16-ALV-CIS,RIALP,True,General
ÁLVAREZ PÉREZ,MARÍA MERCEDES,CAMINO A AUSCHWITZ. EDITH STEIN,ENSAYO,BIOGRAFÍA/AUTOBIOGRAFÍA,,P-A1,20-ALV-CAM,MAGISTERIO CASALS,True,General
AMBLER,ERIC,CHANTAJE EN ORIENTE,NOVELA,NEGRA,,—,08-AMB-CHA,PLANETA,True,General
AMBLER,ERIC,LA CONSPIRACIÓN INTERCOM,NOVELA,NEGRA,,L-A2,08-AMB-CON,PLANETA,True,General
AMBLER,ERIC,LA MÁSCARA DE DIMITRIOS,NOVELA,NEGRA,,L-B1,12-AMB-MAS,RBA,True,General
AMÉZAGA,ELÍAS,A LA CONTRA,TEATRO,,,—,11-AME-CON,BILBAO,True,General
ANANTA TOER,PRAMOEDYA,TIERRA HUMANA,NOVELA,DRAMA,,—,12-ANA-TIE,DESTINO,True,General
ANDAHAZI,FEDERICO,EL SECRETO DE LOS FLAMENCOS,NOVELA,NEGRA,,—,12-AND-SEC,DESTINO,True,General
ANDERSEN,HANS CHRISTIAN,CUENTOS COMPLETOS 1,RELATO(S),—,●,L-A1,12-AND-CU1,ANAYA,True,General
ANDERSEN,HANS CHRISTIAN,CUENTOS COMPLETOS 2,RELATO(S),—,●,L-A1,12-AND-CU2,ANAYA,True,General
ANDERSEN,HANS CHRISTIAN,CUENTOS COMPLETOS 3,RELATO(S),—,●,L-A1,12-AND-CU3,ANAYA,True,General
ANDERSEN,HANS CHRISTIAN,CUENTOS COMPLETOS 4,RELATO(S),—,●,L-A1,12-AND-CU4,ANAYA,True,General
ANDRIC,IVO,UN PUENTE SOBRE EL DRINA,NOVELA,HISTÓRICA,●,L-A2,06-AND-PUE,DEBOLSILLO,True,General
ANÓNIMO,—,CANTAR DE LOS NIBELUNGOS,NOVELA,CLÁSICA,,L-A1,12-ANO-CAN,CÁTEDRA,True,General
ANÓNIMO,—,CANTAR DE ROLDÁN,NOVELA,CLÁSICA,,L-A1,12-ANO-CAN,CÁTEDRA,True,General
ANÓNIMO,—,EL ROMANCERO VIEJO,POESÍA,—,,L-A1,12-ANO-ROM,CÁTEDRA,True,General
ANÓNIMO,—,LA VIDA DE ESTEBANILLO CONZÁLEZ,NOVELA,CLÁSICA,,L-A1,03-ANO-VID,AUSTRAL,True,General
ANÓNIMO,—,LAZARILLO DE TORMES,NOVELA,CLÁSICA,,L-A1,03-ANO-LAZ,SALVAT,True,General
ANÓNIMO,—,LAZARILLO DE TORMES,NOVELA,CLÁSICA,,L-A2,03-ANO-LAZ,CÁTEDRA,True,General
ANÓNIMO,—,LIBRO DE ALEXANDRE,NOVELA,CLÁSICA,,L-A1,12-ANO-LIB,CÁTEDRA,True,General
